sample_type,size,operation,time_ms
sequential,1000,insertion,8.261540000967216
sequential,1000,search,0.6551800004672259
sequential,1000,deletion,5.4964999995718244
sequential,2500,insertion,21.999159999541007
sequential,2500,search,1.8399400003545452
sequential,2500,deletion,14.357659999950556
sequential,5000,insertion,46.07510000059847
sequential,5000,search,4.036660000565462
sequential,5000,deletion,29.38138000026811
sequential,7500,insertion,68.7831000002916
sequential,7500,search,6.136039999546483
sequential,7500,deletion,44.65925999902538
sequential,10000,insertion,93.77350000067963
sequential,10000,search,8.50340000106371
sequential,10000,deletion,60.46330000026501
sequential,20000,insertion,191.15438000007998
sequential,20000,search,17.933159999665804
sequential,20000,deletion,122.20443999976851
sequential,40000,insertion,397.3330000007991
sequential,40000,search,38.66258000052767
sequential,40000,deletion,252.2497599995404
sequential,60000,insertion,611.1651600003825
sequential,60000,search,59.573720000480535
sequential,60000,deletion,383.26189999934286
sequential,80000,insertion,827.2938599999179
sequential,80000,search,80.61538000038126
sequential,80000,deletion,516.7583999995259
sequential,100000,insertion,1055.7579399988754
sequential,100000,search,103.17893999963417
sequential,100000,deletion,647.0504799995979
random,1000,insertion,7.264040000882233
random,1000,search,0.7907600003818516
random,1000,deletion,5.392300000676187
random,2500,insertion,19.713459999184124
random,2500,search,2.0593799999915063
random,2500,deletion,13.910300000134157
random,5000,insertion,40.35090000033961
random,5000,search,4.07722000090871
random,5000,deletion,28.330539998569293
random,7500,insertion,60.21323999957531
random,7500,search,6.4624000020558015
random,7500,deletion,42.49245999963023
random,10000,insertion,82.63154000014765
random,10000,search,8.856639999430627
random,10000,deletion,58.249899999646004
random,20000,insertion,174.09850000112783
random,20000,search,19.13293999969028
random,20000,deletion,121.80225999982213
random,40000,insertion,368.54181999951834
random,40000,search,42.595380000420846
random,40000,deletion,263.54906000051415
random,60000,insertion,574.6293999996851
random,60000,search,69.29432000033557
random,60000,deletion,408.5294199998316
random,80000,insertion,796.1695399993914
random,80000,search,100.35900000075344
random,80000,deletion,554.739059998974
random,100000,insertion,1040.662240000529
random,100000,search,131.20149999886053
random,100000,deletion,712.7851400007785
