sample_type,size,operation,time_ms
sequential,1000,insertion,0.03518000012263656
sequential,1000,search,4.003999999986263
sequential,1000,deletion,0.05393999963416718
sequential,2500,insertion,0.09070000014617108
sequential,2500,search,24.853300000540912
sequential,2500,deletion,0.13293999945744872
sequential,5000,insertion,0.17528000098536722
sequential,5000,search,97.32169999915641
sequential,5000,deletion,0.2700399993045721
sequential,7500,insertion,0.34545999951660633
sequential,7500,search,215.95518000103766
sequential,7500,deletion,0.4024799993203487
sequential,10000,insertion,0.3307600003608968
sequential,10000,search,378.0012000010174
sequential,10000,deletion,0.5281999998260289
sequential,20000,insertion,0.7057800001348369
sequential,20000,search,1530.798679999134
sequential,20000,deletion,1.0823799995705485
sequential,40000,insertion,1.4875599998049438
sequential,40000,search,6192.981960001634
sequential,40000,deletion,2.1367000001191627
sequential,60000,insertion,2.2321000004012603
sequential,60000,search,13897.631099999126
sequential,60000,deletion,3.267539999069413
sequential,80000,insertion,2.8142999995907303
sequential,80000,search,24462.125560000277
sequential,80000,deletion,4.364339999301592
sequential,100000,insertion,3.483520000008866
sequential,100000,search,39140.22355999914
sequential,100000,deletion,5.46327999982168
random,1000,insertion,0.0403199992433656
random,1000,search,3.8850800003274344
random,1000,deletion,0.05524000007426366
random,2500,insertion,0.08837999921524897
random,2500,search,23.70684000052279
random,2500,deletion,0.13601999889942817
random,5000,insertion,0.19023999993805774
random,5000,search,93.5767199996917
random,5000,deletion,0.2701599987631198
random,7500,insertion,0.30534000106854364
random,7500,search,207.65615999989677
random,7500,deletion,0.41053999957512133
random,10000,insertion,0.449520000256598
random,10000,search,371.1258199997246
random,10000,deletion,0.5485800000315066
random,20000,insertion,0.7942999996885192
random,20000,search,1476.6200999998546
random,20000,deletion,1.0733999995863996
random,40000,insertion,1.3836199999786913
random,40000,search,5923.897740000393
random,40000,deletion,2.1780600007332396
random,60000,insertion,2.176300000428455
random,60000,search,13303.737579999142
random,60000,deletion,3.211219999502646
random,80000,insertion,2.8405000004568137
random,80000,search,23695.927700000175
random,80000,deletion,4.385499999625608
random,100000,insertion,3.478259999246802
random,100000,search,37740.51907999892
random,100000,deletion,5.423879998852499
