sample_type,size,operation,time_ms
sequential,1000,insertion,8.603219999349676
sequential,1000,search,1.039340000716038
sequential,1000,deletion,5.556560000695754
sequential,2500,insertion,24.24953999943682
sequential,2500,search,2.9840399976819754
sequential,2500,deletion,15.827379999973346
sequential,5000,insertion,52.3856199994043
sequential,5000,search,6.446200000209501
sequential,5000,deletion,34.307739999348996
sequential,7500,insertion,80.61825999975554
sequential,7500,search,10.270519999903627
sequential,7500,deletion,55.29638000007253
sequential,10000,insertion,110.72395999945002
sequential,10000,search,14.031539999996312
sequential,10000,deletion,74.06599999885657
sequential,20000,insertion,234.23164000050747
sequential,20000,search,30.12842000098317
sequential,20000,deletion,159.86592000044766
sequential,40000,insertion,515.8307799996692
sequential,40000,search,64.67971999954898
sequential,40000,deletion,342.73594000042067
sequential,60000,insertion,805.2177600002324
sequential,60000,search,100.24798000013107
sequential,60000,deletion,539.0025199994852
sequential,80000,insertion,1086.5436600004614
sequential,80000,search,138.2171400000516
sequential,80000,deletion,731.9124399997236
sequential,100000,insertion,1386.7146600001433
sequential,100000,search,175.02504000003682
sequential,100000,deletion,947.1229000002495
random,1000,insertion,8.201160000317032
random,1000,search,1.1108200000307988
random,1000,deletion,7.157359999837354
random,2500,insertion,22.761239999817917
random,2500,search,3.0995399989478756
random,2500,deletion,20.66432000065106
random,5000,insertion,61.45284000012907
random,5000,search,6.779220000316855
random,5000,deletion,45.34501999951317
random,7500,insertion,80.96766000089701
random,7500,search,10.621039999386994
random,7500,deletion,71.49659999922733
random,10000,insertion,107.2796999993443
random,10000,search,14.614600000641076
random,10000,deletion,97.92572000078508
random,20000,insertion,236.92604000098072
random,20000,search,32.43445999905816
random,20000,deletion,215.73614000008092
random,40000,insertion,531.9587799996953
random,40000,search,73.64462000041385
random,40000,deletion,476.88922000015737
random,60000,insertion,856.2943200005975
random,60000,search,124.35358000002452
random,60000,deletion,763.1048199989891
random,80000,insertion,1185.0762599991867
random,80000,search,179.58867999986978
random,80000,deletion,1053.7113400001545
random,100000,insertion,1620.4968199992436
random,100000,search,282.73585999995703
random,100000,deletion,1473.7981400001445
