sample_type,size,operation,time_ms
sequential,1000,insertion,5.414159999054391
sequential,1000,search,2.78041999990819
sequential,1000,deletion,6.376300000556512
sequential,2500,insertion,13.689780000277096
sequential,2500,search,8.211020000453573
sequential,2500,deletion,17.520240000158083
sequential,5000,insertion,27.62540000039735
sequential,5000,search,16.62382000067737
sequential,5000,deletion,37.63964000099804
sequential,7500,insertion,42.54753999921377
sequential,7500,search,24.376540000230307
sequential,7500,deletion,60.854599999584025
sequential,10000,insertion,58.68895999956294
sequential,10000,search,33.72826000049827
sequential,10000,deletion,79.81604000015068
sequential,20000,insertion,123.0342599999858
sequential,20000,search,74.06715999968583
sequential,20000,deletion,175.11742000060622
sequential,40000,insertion,254.92302000056952
sequential,40000,search,167.82377999916207
sequential,40000,deletion,364.645699999528
sequential,60000,insertion,410.04550000143354
sequential,60000,search,243.01705999969272
sequential,60000,deletion,551.623399998789
sequential,80000,insertion,547.3100599985628
sequential,80000,search,357.28303999931086
sequential,80000,deletion,761.2437400006456
sequential,100000,insertion,694.23638000153
sequential,100000,search,446.07533999951556
sequential,100000,deletion,961.156499999197
random,1000,insertion,8.131579999462701
random,1000,search,2.868579999631038
random,1000,deletion,6.865079999988666
random,2500,insertion,22.71594000121695
random,2500,search,8.317240000178572
random,2500,deletion,19.323560001066653
random,5000,insertion,50.02267999952892
random,5000,search,16.9893400008732
random,5000,deletion,41.89311999871279
random,7500,insertion,82.20758000024944
random,7500,search,27.028900000732392
random,7500,deletion,67.64412000047741
random,10000,insertion,112.04347999955644
random,10000,search,37.98826000129338
random,10000,deletion,96.58867999969516
random,20000,insertion,234.17934000026435
random,20000,search,83.69927999956417
random,20000,deletion,206.96802000165917
random,40000,insertion,522.1495999998297
random,40000,search,196.07447999951546
random,40000,deletion,466.4872599991213
random,60000,insertion,858.6266400001477
random,60000,search,348.3053600008134
random,60000,deletion,731.6085400008888
random,80000,insertion,1207.3067999997875
random,80000,search,472.46112000066205
random,80000,deletion,1054.9158999994688
random,100000,insertion,1558.2436000004236
random,100000,search,608.2639400003245
random,100000,deletion,1345.6643999990774
