sample_type,size,operation,time_ms
sequential,1000,insertion,3.1590000005962793
sequential,1000,search,0.7358999988355208
sequential,1000,deletion,1.6031799990742002
sequential,2500,insertion,7.886219999636523
sequential,2500,search,1.9851200013363268
sequential,2500,deletion,4.641620000620605
sequential,5000,insertion,17.853900000773137
sequential,5000,search,4.133160000492353
sequential,5000,deletion,9.239760000491515
sequential,7500,insertion,25.085820000822423
sequential,7500,search,6.8025599990505725
sequential,7500,deletion,13.954799999919487
sequential,10000,insertion,33.700720001070295
sequential,10000,search,9.694720000697998
sequential,10000,deletion,19.579179999709595
sequential,20000,insertion,70.30749999976251
sequential,20000,search,19.721159998880466
sequential,20000,deletion,39.48536000025342
sequential,40000,insertion,158.98144000020693
sequential,40000,search,42.92501999952947
sequential,40000,deletion,82.22137999982806
sequential,60000,insertion,246.5001200005645
sequential,60000,search,66.60737999991397
sequential,60000,deletion,126.35041999965324
sequential,80000,insertion,323.34479999917676
sequential,80000,search,91.96334000007482
sequential,80000,deletion,170.88565999947605
sequential,100000,insertion,410.1886400007061
sequential,100000,search,117.79250000108732
sequential,100000,deletion,217.06641999990097
random,1000,insertion,1.957340000080876
random,1000,search,0.7172000005084556
random,1000,deletion,1.7324599997664336
random,2500,insertion,5.056040000636131
random,2500,search,2.128520001133438
random,2500,deletion,4.528540000319481
random,5000,insertion,21.893740000086837
random,5000,search,4.5723800009000115
random,5000,deletion,9.68976000076509
random,7500,insertion,19.14598000003025
random,7500,search,7.310500000312459
random,7500,deletion,15.057139998680213
random,10000,insertion,22.34825999912573
random,10000,search,10.044479999487521
random,10000,deletion,20.426099999895087
random,20000,insertion,53.61221999919508
random,20000,search,22.870299999340205
random,20000,deletion,44.072859999141656
random,40000,insertion,127.41281999988132
random,40000,search,52.61694000000716
random,40000,deletion,98.77122000034433
random,60000,insertion,213.27671999970335
random,60000,search,89.41798000014387
random,60000,deletion,164.37807999973302
random,80000,insertion,299.68578000043635
random,80000,search,129.45962000012514
random,80000,deletion,236.4846000004036
random,100000,insertion,414.28758000110975
random,100000,search,175.1652799997828
random,100000,deletion,315.3632800007472
