sample_type,size,operation,time_ms
sequential,1000,insertion,4.4800000003306195
sequential,1000,search,3.025799999886658
sequential,1000,deletion,1.1093400025856681
sequential,2500,insertion,21.05849999934435
sequential,2500,search,18.081960000563413
sequential,2500,deletion,2.7499000017996877
sequential,5000,insertion,69.90663999895332
sequential,5000,search,69.71438000182388
sequential,5000,deletion,5.453000000852626
sequential,7500,insertion,160.00265999755356
sequential,7500,search,140.60915999871213
sequential,7500,deletion,8.354700001655146
sequential,10000,insertion,280.86828000086825
sequential,10000,search,270.14933999889763
sequential,10000,deletion,11.107919999631122
sequential,20000,insertion,1067.319659999339
sequential,20000,search,1081.498960001045
sequential,20000,deletion,22.658339999907184
sequential,40000,insertion,4328.703399999358
sequential,40000,search,4461.5066599988495
sequential,40000,deletion,44.25654000224313
sequential,60000,insertion,10127.895400002308
sequential,60000,search,9755.99041999958
sequential,60000,deletion,67.66862000076799
sequential,80000,insertion,22925.92636000045
sequential,80000,search,22492.369259998668
sequential,80000,deletion,90.65639999898849
sequential,100000,insertion,51803.6517799992
sequential,100000,search,50452.779340000416
sequential,100000,deletion,112.0889800004079
random,1000,insertion,3.4383600010187365
random,1000,search,3.306499996688217
random,1000,deletion,2.639320000889711
random,2500,insertion,12.67115999944508
random,2500,search,17.423020002024714
random,2500,deletion,10.815340001136065
random,5000,insertion,40.973300000769086
random,5000,search,62.42435999884037
random,5000,deletion,36.61495999986073
random,7500,insertion,84.58886000153143
random,7500,search,140.15369999979157
random,7500,deletion,74.53506000019843
random,10000,insertion,143.03306000074372
random,10000,search,257.12559999665245
random,10000,deletion,129.48643999989145
random,20000,insertion,542.351459999918
random,20000,search,997.4156999989646
random,20000,deletion,516.1151799984509
random,40000,insertion,2206.0104599993792
random,40000,search,4254.038120001496
random,40000,deletion,2069.1602599981707
random,60000,insertion,4980.4750600029365
random,60000,search,10514.342079999915
random,60000,deletion,4934.276980001596
random,80000,insertion,9206.67743999802
random,80000,search,19281.558199999563
random,80000,deletion,8972.020780001185
random,100000,insertion,15114.279179999721
random,100000,search,37031.05599999835
random,100000,deletion,17049.33316000097
